title,url,zp,company
Web-программист,https://www.superjob.ru/vakansii/web-programmist-38790033.html,100 000—125 000руб./месяц,Вилена
Аналитик,https://www.superjob.ru/vakansii/analitik-38904495.html,95 000—115 000руб./месяц,Проектная дирекция Министерства строительства и жилищно-коммунального хозяйства Российской Федерации
Data Quality Engineer,https://www.superjob.ru/vakansii/data-quality-engineer-38602244.html,от100 000 руб./месяц,Линском
Учитель информатики / робототехники (основная школа и профильное образование),https://www.superjob.ru/vakansii/uchitel-informatiki-37521419.html,По договорённости,ГБОУ Школа № 1561
DevOps инженер,https://www.superjob.ru/vakansii/devops-inzhener-38807015.html,По договорённости,Межрегиональный ТранзитТелеком
Python разработчик,https://hh.ru/vacancy/47795079?from=vacancy_search_list&query=python,до 100 000 руб.,Dorio
Full stack разработчик на Python (Middle),https://hh.ru/vacancy/47755572?from=vacancy_search_list&query=python,170 000 – 190 000 руб.,ООО Цифровые Платежи
Python программист,https://hh.ru/vacancy/47500890?from=vacancy_search_list&query=python,от 100 000 руб.,Сеть магазинов цифровой и бытовой техники DNS
Ведущий Python разработчик,https://hh.ru/vacancy/47804428?from=vacancy_search_list&query=python,от 230 000 руб.,TWIN
Python developer(Middle/Senior),https://hh.ru/vacancy/47531614?from=vacancy_search_list&query=python,до 250 000 руб.,SATVASPACE
Python-разработчик,https://hh.ru/vacancy/46412762?from=vacancy_search_list&query=python,от 130 000 руб.,FunBox
Python Developer,https://hh.ru/vacancy/47788707?from=vacancy_search_list&query=python,,ООО РедСейл
Senior Python Backend Developer,https://hh.ru/vacancy/46673127?from=vacancy_search_list&query=python,от 4 000 USD,App in the Air
Ведущий Python разработчик,https://hh.ru/vacancy/47804424?from=vacancy_search_list&query=python,от 230 000 руб.,TWIN
Senior QA Automation Engineer (Python),https://hh.ru/vacancy/43394109?from=vacancy_search_list&query=python,от 300 000 руб.,Scalable Solutions
Python программист,https://hh.ru/vacancy/47414311?from=vacancy_search_list&query=python,,Thomas Teleservice TTS GmbH & Co KG
Python Developer,https://hh.ru/vacancy/47768520?from=vacancy_search_list&query=python,,"АТОЛ, группа компаний"
Программист Python,https://hh.ru/vacancy/46908580?from=vacancy_search_list&query=python,до 150 000 руб.,ООО Неовокс Технологии
Middle python-разработчик (aiohttp),https://hh.ru/vacancy/47490844?from=vacancy_search_list&query=python,до 200 000 руб.,KTS
Разработчик в группу качества объектных списков (С++/Python),https://hh.ru/vacancy/46730850?from=vacancy_search_list&query=python,,Яндекс
Python разработчик (в офис),https://hh.ru/vacancy/47776110?from=vacancy_search_list&query=python,от 140 000 руб.,ООО Интермобилити
Python Developer,https://hh.ru/vacancy/44655490?from=vacancy_search_list&query=python,,Perfect Panel
Python разработчик,https://hh.ru/vacancy/47015826?from=vacancy_search_list&query=python,от 100 000 руб.,ООО ВижнЛабс (VisionLabs)
Ведущий Python разработчик,https://hh.ru/vacancy/47804425?from=vacancy_search_list&query=python,от 230 000 руб.,TWIN
Бэкенд разработчик (Python/Django),https://hh.ru/vacancy/47771726?from=vacancy_search_list&query=python,1 500 – 2 500 USD,KeepPet
